Zeit,Vollständiger Name,Betroffene/r Nutzer/in,Ereigniskontext,Komponente,Ereignisname,Beschreibung,Herkunft,IP-Adresse,Abschlussnote
"01. April 2023, 08:18:00",25NEFW,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.0
"01. April 2023, 08:59:00",73D0B,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,2.0
"01. April 2023, 11:56:00",15R24X,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 15R24X created xxx.,web,156.57.138.4,3.0
"01. April 2023, 12:30:00",14WQ3Q,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 14WQ3Q updated xxx.,web,2.242.172.221,3.0
"01. April 2023, 13:57:00",4Z0MB,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 4Z0MB viewed the course with id 23946.,web,200.131.31.148,2.7
"01. April 2023, 14:31:00",73D0B,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 73D0B updated xxx.,web,161.106.110.223,1.7
"01. April 2023, 14:59:00",19WM89,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 19WM89 viewed the course with id 23946.,web,179.0.54.180,3.1
"01. April 2023, 16:20:00",20GB9S,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 20GB9S updated xxx.,web,152.124.142.94,2.1
"01. April 2023, 17:03:00",19I42S,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 19I42S created xxx.,web,243.22.106.4,3.2
"01. April 2023, 22:12:00",7MZMO,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 7MZMO viewed the course with id 23946.,web,247.247.166.211,3.0
"01. April 2023, 23:36:00",260143,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 260143 created xxx.,web,190.29.202.49,3.0
"01. May 2023, 00:43:00",8IVCK,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 8IVCK created xxx.,web,229.215.239.183,2.8
"01. May 2023, 01:22:00",8IVCK,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 8IVCK updated xxx.,web,229.215.239.183,2.7
"01. May 2023, 02:07:00",27KA9H,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 27KA9H viewed the course with id 23946.,web,43.115.46.129,2.3
"01. May 2023, 03:53:00",25NEFW,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.1
"01. May 2023, 06:11:00",11RP4P,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 11RP4P updated xxx.,ws,1.229.132.156,3.4
"01. May 2023, 08:27:00",19WM89,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 19WM89 viewed the course with id 23946.,web,179.0.54.180,2.7
"01. May 2023, 08:50:00",25NEFW,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.1
"01. May 2023, 09:16:00",24SGPA,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 24SGPA updated xxx.,web,146.253.0.191,3.0
"01. May 2023, 09:55:00",5802T,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 5802T updated xxx.,web,16.153.61.76,1.7
"01. May 2023, 10:09:00",20GB9S,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 20GB9S viewed the course with id 23946.,web,152.124.142.94,2.2
"01. May 2023, 10:46:00",20GB9S,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 20GB9S updated xxx.,ws,165.214.243.1,2.3
"01. May 2023, 11:33:00",5802T,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 5802T updated xxx.,web,16.153.61.76,1.7
"01. May 2023, 11:55:00",1W3IK,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 1W3IK updated xxx.,web,121.222.7.20,3.0
"01. May 2023, 12:06:00",9O0I9,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 9O0I9 created xxx.,web,118.86.100.221,2.6
"01. May 2023, 12:55:00",4DMMJ,14LQJV,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 4DMMJ created xxx.,ws,236.180.184.10,4.0
"01. May 2023, 14:37:00",49DWY,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 49DWY updated xxx.,web,217.217.223.243,2.4
"01. May 2023, 16:29:00",9DYIO,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 9DYIO created xxx.,web,198.66.12.92,2.7
"01. May 2023, 20:05:00",26CC63,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 26CC63 updated xxx.,web,176.170.1.63,2.3
"01. May 2023, 21:55:00",49DWY,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 49DWY created xxx.,web,217.217.223.243,1.8
"01. May 2023, 22:14:00",4DMMJ,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 4DMMJ viewed the course with id 23946.,web,4.100.75.178,3.8
"01. May 2023, 22:38:00",20GB9S,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 20GB9S updated xxx.,ws,10.227.75.161,2.3
"01. May 2023, 23:27:00",27KA9H,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 27KA9H created xxx.,web,43.115.46.129,2.1
"01. May 2023, 23:29:00",5802T,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 5802T updated xxx.,web,16.153.61.76,2.4
"01. May 2023, 23:55:00",15R24X,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 15R24X created xxx.,web,156.57.138.4,3.0
"02. April 2023, 00:38:00",27KA9H,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 27KA9H updated xxx.,web,43.115.46.129,1.7
"02. April 2023, 00:42:00",26O0KW,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 26O0KW viewed the course with id 23946.,web,65.136.205.127,2.8
"02. April 2023, 01:17:00",9DYIO,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 9DYIO viewed the course with id 23946.,web,198.66.12.92,3.4
"02. April 2023, 02:54:00",372V0,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,2.2
"02. April 2023, 05:51:00",25NEFW,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 25NEFW created xxx.,web,22.252.23.174,1.4
"02. April 2023, 07:28:00",73D0B,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 73D0B updated xxx.,web,161.106.110.223,1.9
"02. April 2023, 10:00:00",25NEFW,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.1
"02. April 2023, 10:18:00",14LQJV,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 14LQJV created xxx.,web,73.253.31.164,3.4
"02. April 2023, 10:31:00",7MZMO,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 7MZMO created xxx.,web,247.247.166.211,2.9
"02. April 2023, 11:26:00",27KA9H,372V0,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 27KA9H updated xxx.,web,43.115.46.129,2.5
"02. April 2023, 13:00:00",19WM89,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 19WM89 updated xxx.,web,179.0.54.180,2.9
"02. April 2023, 14:04:00",13ESGP,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 13ESGP created xxx.,cli,193.223.231.64,2.9
"02. April 2023, 15:43:00",9DYIO,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 9DYIO viewed the course with id 23946.,web,198.66.12.92,2.8
"02. April 2023, 16:22:00",19WM89,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 19WM89 updated xxx.,web,179.0.54.180,2.6
"02. April 2023, 16:31:00",26O0KW,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 26O0KW updated xxx.,web,65.136.205.127,2.9
"02. April 2023, 17:14:00",49DWY,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 49DWY updated xxx.,web,217.217.223.243,2.1
"02. April 2023, 20:25:00",73D0B,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,1.6
"02. April 2023, 21:24:00",26CC63,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 26CC63 updated xxx.,web,176.170.1.63,1.9
"02. April 2023, 21:24:00",297DRA,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 297DRA updated xxx.,web,75.104.45.32,2.8
"02. April 2023, 23:04:00",25NEFW,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 25NEFW created xxx.,web,22.252.23.174,1.2
"02. May 2023, 06:25:00",5802T,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 5802T created xxx.,web,16.153.61.76,2.3
"02. May 2023, 07:35:00",372V0,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 372V0 created xxx.,ws,0.147.212.98,2.3
"02. May 2023, 08:36:00",9O0I9,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 9O0I9 viewed the course with id 23946.,web,118.86.100.221,2.9
"02. May 2023, 09:00:00",13ESGP,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 13ESGP viewed the course with id 23946.,cli,193.223.231.64,3.4
"02. May 2023, 09:02:00",25NEFW,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.5
"02. May 2023, 09:49:00",297DRA,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 297DRA created xxx.,web,75.104.45.32,3.3
"02. May 2023, 10:28:00",2OAJI,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 2OAJI created xxx.,web,179.49.49.55,1.3
"02. May 2023, 11:26:00",2160DU,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 2160DU updated xxx.,web,217.47.45.224,2.5
"02. May 2023, 16:42:00",24SGPA,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 24SGPA viewed the course with id 23946.,web,146.253.0.191,3.2
"02. May 2023, 17:40:00",20GB9S,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 20GB9S updated xxx.,web,152.124.142.94,1.7
"02. May 2023, 19:28:00",26CC63,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 26CC63 created xxx.,web,176.170.1.63,2.3
"02. May 2023, 22:16:00",1W3IK,9DYIO,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 1W3IK viewed the course with id 23946.,web,121.222.7.20,3.0
"02. May 2023, 22:20:00",7MZMO,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 7MZMO viewed the course with id 23946.,web,247.247.166.211,3.3
"02. May 2023, 22:50:00",4Z0MB,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 4Z0MB viewed the course with id 23946.,web,200.131.31.148,3.2
"02. May 2023, 23:09:00",26O0KW,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 26O0KW updated xxx.,web,65.136.205.127,2.8
"03. April 2023, 00:35:00",5802T,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 5802T updated xxx.,web,16.153.61.76,2.2
"03. April 2023, 02:50:00",73D0B,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,1.7
"03. April 2023, 03:14:00",49DWY,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 49DWY viewed the course with id 23946.,web,217.217.223.243,2.1
"03. April 2023, 06:26:00",73D0B,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 73D0B updated xxx.,web,161.106.110.223,1.6
"03. April 2023, 06:33:00",49DWY,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 49DWY created xxx.,web,217.217.223.243,2.4
"03. April 2023, 06:51:00",297DRA,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 297DRA viewed the course with id 23946.,web,75.104.45.32,3.2
"03. April 2023, 08:44:00",24SGPA,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 24SGPA viewed the course with id 23946.,web,146.253.0.191,3.3
"03. April 2023, 10:30:00",2160DU,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 2160DU viewed the course with id 23946.,web,217.47.45.224,2.1
"03. April 2023, 10:30:00",2OAJI,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.0
"03. April 2023, 12:37:00",14LQJV,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 14LQJV viewed the course with id 23946.,web,73.253.31.164,2.9
"03. April 2023, 12:48:00",15R24X,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 15R24X viewed the course with id 23946.,web,156.57.138.4,2.8
"03. April 2023, 14:25:00",2OAJI,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.4
"03. April 2023, 14:37:00",4DMMJ,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 4DMMJ created xxx.,web,4.100.75.178,4.7
"03. April 2023, 16:46:00",19I42S,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 19I42S updated xxx.,web,243.22.106.4,3.3
"03. April 2023, 17:27:00",20GB9S,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 20GB9S created xxx.,web,152.124.142.94,2.5
"03. April 2023, 19:43:00",25NEFW,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 25NEFW viewed the course with id 23946.,ws,39.163.3.95,1.0
"03. April 2023, 19:43:00",27KA9H,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 27KA9H updated xxx.,web,43.115.46.129,1.7
"03. April 2023, 20:27:00",73D0B,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 73D0B created xxx.,web,161.106.110.223,1.6
"03. April 2023, 21:58:00",5802T,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 5802T updated xxx.,web,16.153.61.76,1.9
"03. April 2023, 22:04:00",19WM89,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 19WM89 created xxx.,web,179.0.54.180,3.0
"03. April 2023, 23:00:00",14LQJV,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 14LQJV updated xxx.,web,73.253.31.164,2.9
"03. May 2023, 00:16:00",13ESGP,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 13ESGP created xxx.,web,193.223.231.64,3.1
"03. May 2023, 01:10:00",260143,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 260143 created xxx.,web,190.29.202.49,3.3
"03. May 2023, 02:09:00",260143,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 260143 created xxx.,web,190.29.202.49,2.8
"03. May 2023, 02:38:00",18E2O1,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 18E2O1 viewed the course with id 23946.,web,2.80.53.242,3.8
"03. May 2023, 03:06:00",73D0B,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 73D0B created xxx.,web,161.106.110.223,2.0
"03. May 2023, 03:44:00",2160DU,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 2160DU created xxx.,web,217.47.45.224,2.3
"03. May 2023, 04:20:00",9DYIO,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 9DYIO viewed the course with id 23946.,web,198.66.12.92,2.8
"03. May 2023, 05:27:00",5802T,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 5802T viewed the course with id 23946.,ws,66.62.240.33,2.1
"03. May 2023, 05:32:00",2160DU,19WM89,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 2160DU viewed the course with id 23946.,web,217.47.45.224,2.4
"03. May 2023, 06:34:00",24D0AN,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 24D0AN updated xxx.,web,24.239.98.53,4.0
"03. May 2023, 08:01:00",19WM89,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 19WM89 updated xxx.,web,179.0.54.180,3.1
"03. May 2023, 09:56:00",20GB9S,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 20GB9S viewed the course with id 23946.,web,152.124.142.94,2.3
"03. May 2023, 13:18:00",260143,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 260143 created xxx.,web,190.29.202.49,3.3
"03. May 2023, 13:24:00",15R24X,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 15R24X viewed the course with id 23946.,web,156.57.138.4,3.3
"03. May 2023, 15:48:00",26O0KW,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 26O0KW viewed the course with id 23946.,ws,154.106.143.109,2.7
"03. May 2023, 16:27:00",2OAJI,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.5
"03. May 2023, 18:06:00",19I42S,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 19I42S created xxx.,web,243.22.106.4,2.7
"03. May 2023, 19:54:00",19I42S,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 19I42S updated xxx.,web,243.22.106.4,2.6
"03. May 2023, 22:12:00",73D0B,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,2.4
"03. May 2023, 23:07:00",27KA9H,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 27KA9H created xxx.,cli,43.115.46.129,1.6
"03. May 2023, 23:14:00",18E2O1,4Z0MB,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 18E2O1 viewed the course with id 23946.,ws,139.140.97.31,4.2
"04. April 2023, 01:10:00",5802T,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 5802T viewed the course with id 23946.,web,16.153.61.76,1.7
"04. April 2023, 01:21:00",25NEFW,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.4
"04. April 2023, 01:23:00",15R24X,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 15R24X created xxx.,web,156.57.138.4,2.8
"04. April 2023, 02:41:00",25NEFW,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.2
"04. April 2023, 03:01:00",49DWY,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 49DWY viewed the course with id 23946.,web,217.217.223.243,1.9
"04. April 2023, 04:20:00",26CC63,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 26CC63 updated xxx.,web,176.170.1.63,1.9
"04. April 2023, 04:46:00",73D0B,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 73D0B updated xxx.,ws,140.61.35.12,2.2
"04. April 2023, 04:54:00",25NEFW,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 25NEFW created xxx.,web,22.252.23.174,1.2
"04. April 2023, 07:00:00",2160DU,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 2160DU created xxx.,web,217.47.45.224,2.4
"04. April 2023, 08:47:00",18E2O1,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 18E2O1 viewed the course with id 23946.,cli,2.80.53.242,3.7
"04. April 2023, 10:05:00",26O0KW,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 26O0KW created xxx.,web,65.136.205.127,3.1
"04. April 2023, 11:51:00",14LQJV,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 14LQJV updated xxx.,web,73.253.31.164,3.4
"04. April 2023, 13:41:00",15R24X,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 15R24X viewed the course with id 23946.,web,156.57.138.4,2.9
"04. April 2023, 14:22:00",13ESGP,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 13ESGP created xxx.,web,193.223.231.64,3.2
"04. April 2023, 14:24:00",24D0AN,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 24D0AN viewed the course with id 23946.,cli,24.239.98.53,4.8
"04. April 2023, 15:12:00",24SGPA,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 24SGPA created xxx.,web,146.253.0.191,3.5
"04. April 2023, 17:47:00",260143,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 260143 created xxx.,web,190.29.202.49,3.4
"04. April 2023, 18:50:00",27KA9H,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 27KA9H updated xxx.,web,43.115.46.129,2.1
"04. April 2023, 19:48:00",26CC63,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 26CC63 viewed the course with id 23946.,web,176.170.1.63,2.1
"04. April 2023, 20:40:00",4Z0MB,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 4Z0MB updated xxx.,web,200.131.31.148,2.8
"04. April 2023, 21:38:00",13ESGP,2OAJI,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 13ESGP created xxx.,web,193.223.231.64,3.4
"04. April 2023, 22:33:00",25NEFW,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 25NEFW created xxx.,web,22.252.23.174,1.2
"04. April 2023, 22:40:00",49DWY,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 49DWY updated xxx.,ws,236.67.173.221,1.7
"04. April 2023, 23:33:00",7MZMO,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 7MZMO updated xxx.,web,247.247.166.211,2.9
"04. May 2023, 05:32:00",7MZMO,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 7MZMO viewed the course with id 23946.,web,247.247.166.211,3.0
"04. May 2023, 06:12:00",5802T,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 5802T updated xxx.,web,16.153.61.76,2.0
"04. May 2023, 06:46:00",2OAJI,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 2OAJI created xxx.,web,179.49.49.55,1.1
"04. May 2023, 11:12:00",25NEFW,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.3
"04. May 2023, 11:46:00",49DWY,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 49DWY created xxx.,web,217.217.223.243,2.2
"04. May 2023, 12:58:00",372V0,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 372V0 updated xxx.,web,43.62.43.195,2.2
"04. May 2023, 15:06:00",11RP4P,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 11RP4P created xxx.,web,60.84.143.218,3.4
"04. May 2023, 16:10:00",25NEFW,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.2
"04. May 2023, 16:30:00",49DWY,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 49DWY updated xxx.,web,217.217.223.243,2.3
"04. May 2023, 18:15:00",26O0KW,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 26O0KW viewed the course with id 23946.,web,65.136.205.127,2.8
"04. May 2023, 18:19:00",20GB9S,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 20GB9S viewed the course with id 23946.,web,152.124.142.94,2.2
"04. May 2023, 18:45:00",18E2O1,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 18E2O1 created xxx.,web,2.80.53.242,3.6
"04. May 2023, 21:07:00",73D0B,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 73D0B updated xxx.,web,161.106.110.223,2.5
"04. May 2023, 22:33:00",25NEFW,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 25NEFW created xxx.,web,22.252.23.174,1.0
"04. May 2023, 23:06:00",1W3IK,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 1W3IK viewed the course with id 23946.,web,121.222.7.20,2.9
"05. April 2023, 00:11:00",2160DU,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 2160DU viewed the course with id 23946.,web,217.47.45.224,2.4
"05. April 2023, 02:58:00",4DMMJ,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 4DMMJ viewed the course with id 23946.,web,4.100.75.178,4.1
"05. April 2023, 04:45:00",19I42S,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 19I42S created xxx.,web,243.22.106.4,3.4
"05. April 2023, 05:05:00",260143,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 260143 viewed the course with id 23946.,web,190.29.202.49,2.9
"05. April 2023, 05:23:00",260143,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 260143 viewed the course with id 23946.,web,190.29.202.49,2.8
"05. April 2023, 08:10:00",9O0I9,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 9O0I9 updated xxx.,web,118.86.100.221,2.7
"05. April 2023, 10:38:00",372V0,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 372V0 created xxx.,web,43.62.43.195,2.2
